기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,일반_점포_수,프랜차이즈_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수
20213,11680,강남구,CS300041,예술품,256,256,0,5.5,14,2,5
20213,11680,강남구,CS300040,재생용품 판매점,75,75,0,0,0,1.3,1
20213,11680,강남구,CS300039,모터사이클및부품,36,36,0,0,0,2.8,1
20213,11680,강남구,CS300038,자동차부품,282,282,0,0.7,2,2.5,7
20213,11680,강남구,CS300037,중고차판매,98,98,0,5.1,5,8.2,8
20213,11680,강남구,CS300036,조명용품,720,718,2,0.7,5,0.7,5
20213,11680,강남구,CS300035,인테리어,258,257,1,0.8,2,0.8,2
20213,11680,강남구,CS300034,악기,39,39,0,0,0,2.6,1
20213,11680,강남구,CS300033,철물점,102,102,0,0,0,0,0
20213,11680,강남구,CS300032,가전제품,165,165,0,0.6,1,0.6,1
20213,11680,강남구,CS300031,가구,510,509,1,3.1,16,1.8,9
20213,11680,강남구,CS300030,중고가구,8,8,0,12.5,1,0,0
20213,11680,강남구,CS300029,애완동물,163,152,11,4.3,7,3.1,5
20213,11680,강남구,CS300028,화초,722,709,13,1.7,12,1.5,11
20213,11680,강남구,CS300027,섬유제품,216,216,0,0.9,2,1.9,4
20213,11680,강남구,CS300026,완구,77,77,0,2.6,2,1.3,1
20213,11680,강남구,CS300025,자전거 및 기타운송장비,52,52,0,1.9,1,0,0
20213,11680,강남구,CS300024,운동/경기용품,454,454,0,3.1,14,2,9
20213,11680,강남구,CS300023,미용재료,79,79,0,2.5,2,0,0
20213,11680,강남구,CS300022,화장품,2871,2795,76,2.2,64,2.6,74
20213,11680,강남구,CS300021,문구,360,301,59,2.2,8,1.7,6
20213,11680,강남구,CS300020,서적,313,306,7,1.6,5,1.3,4
20213,11680,강남구,CS300019,의료기기,402,401,1,2.2,9,1.5,6
20213,11680,강남구,CS300018,의약품,835,778,57,2.3,19,1.6,13
20213,11680,강남구,CS300017,시계및귀금속,496,489,7,2.2,11,2,10
20213,11680,강남구,CS300016,안경,242,190,52,1.2,3,1.2,3
20213,11680,강남구,CS300015,가방,302,301,1,1.3,4,2.6,8
20213,11680,강남구,CS300014,신발,327,322,5,1.2,4,1.8,6
20213,11680,강남구,CS300013,유아의류,128,122,6,3.1,4,1.6,2
20213,11680,강남구,CS300012,한복점,34,34,0,0,0,8.8,3
20213,11680,강남구,CS300011,일반의류,3676,3667,9,2.1,79,2.2,82
20213,11680,강남구,CS300010,반찬가게,895,844,51,2.2,20,2.1,19
20213,11680,강남구,CS300009,청과상,311,306,5,1.9,6,2.6,8
20213,11680,강남구,CS300008,수산물판매,199,199,0,2.5,5,1.5,3
20213,11680,강남구,CS300007,육류판매,273,265,8,2.9,8,3.3,9
20213,11680,강남구,CS300006,미곡판매,227,227,0,1.8,4,1.8,4
20213,11680,강남구,CS300005,주류도매,140,140,0,2.9,4,0.7,1
20213,11680,강남구,CS300004,핸드폰,379,377,2,1.3,5,4,15
20213,11680,강남구,CS300003,컴퓨터및주변장치판매,662,661,1,2,13,1.1,7
20213,11680,강남구,CS300002,편의점,854,270,584,2.8,24,2.8,24
20213,11680,강남구,CS300001,슈퍼마켓,751,450,301,1.7,13,2.1,16
20213,11680,강남구,CS200047,가정용품임대,89,89,0,2.2,2,1.1,1
20213,11680,강남구,CS200046,의류임대,233,233,0,1.7,4,0.9,2
20213,11680,강남구,CS200045,비디오/서적임대,17,15,2,0,0,0,0
20213,11680,강남구,CS200044,여행사,665,665,0,0.3,2,0.5,3
20213,11680,강남구,CS200043,건축물청소,335,331,4,1.8,6,1.2,4
20213,11680,강남구,CS200042,통번역서비스,300,300,0,1.7,5,0,0
20213,11680,강남구,CS200041,사진관,1177,1175,2,2.2,26,1.4,17
20213,11680,강남구,CS200040,녹음실,261,261,0,3.1,8,1.9,5
20213,11680,강남구,CS200039,DVD방,2,2,0,0,0,0,0
20213,11680,강남구,CS200038,독서실,337,267,70,4.7,16,2.7,9
20213,11680,강남구,CS200037,노래방,283,276,7,2.5,7,4.6,13
20213,11680,강남구,CS200036,고시원,10,10,0,0,0,0,0
20213,11680,강남구,CS200035,게스트하우스,43,41,2,2.3,1,7,3
20213,11680,강남구,CS200034,여관,147,146,1,4.1,6,5.4,8
20213,11680,강남구,CS200033,부동산중개업,5735,5728,7,2.9,164,1.8,106
20213,11680,강남구,CS200032,가전제품수리,114,114,0,4.4,5,0.9,1
20213,11680,강남구,CS200031,세탁소,447,379,68,0.4,2,1.8,8
20213,11680,강남구,CS200030,피부관리실,843,803,40,4.9,41,3,25
20213,11680,강남구,CS200029,네일숍,441,423,18,2.5,11,1.8,8
20213,11680,강남구,CS200028,미용실,1629,1499,130,2.9,48,2.1,34
20213,11680,강남구,CS200027,모터사이클수리,24,24,0,4.2,1,0,0
20213,11680,강남구,CS200026,자동차미용,121,117,4,3.3,4,2.5,3
20213,11680,강남구,CS200025,자동차수리,263,234,29,1.1,3,1.5,4
20213,11680,강남구,CS200024,스포츠클럽,471,455,16,5.5,26,2.5,12
20213,11680,강남구,CS200023,통신기기수리,39,39,0,2.6,1,5.1,2
20213,11680,강남구,CS200022,복권방,23,23,0,4.3,1,0,0
20213,11680,강남구,CS200021,기타오락장,123,104,19,5.7,7,11.4,14
20213,11680,강남구,CS200020,전자게임장,18,18,0,5.6,1,0,0
20213,11680,강남구,CS200019,PC방,104,94,10,3.8,4,5.8,6
20213,11680,강남구,CS200018,볼링장,10,10,0,0,0,0,0
20213,11680,강남구,CS200017,골프연습장,252,238,14,6,15,2.8,7
20213,11680,강남구,CS200016,당구장,283,280,3,3.2,9,3.2,9
20213,11680,강남구,CS200015,세무사사무소,1558,1558,0,2,31,0.4,7
20213,11680,강남구,CS200014,회계사사무소,248,248,0,1.2,3,0.8,2
20213,11680,강남구,CS200013,기타법무서비스,351,351,0,2.8,10,1.7,6
20213,11680,강남구,CS200012,법무사사무소,220,220,0,0.9,2,0.5,1
20213,11680,강남구,CS200011,변리사사무소,454,454,0,1.5,7,1.3,6
20213,11680,강남구,CS200010,변호사사무소,616,616,0,2.9,18,2.3,14
20213,11680,강남구,CS200009,동물병원,95,93,2,1.1,1,2.1,2
20213,11680,강남구,CS200008,한의원,441,441,0,1.4,6,0.5,2
20213,11680,강남구,CS200007,치과의원,583,583,0,1.2,7,1.4,8
20213,11680,강남구,CS200006,일반의원,1941,1941,0,3.3,64,1.4,27
20213,11680,강남구,CS200005,스포츠 강습,826,791,35,4.7,39,1.8,15
20213,11680,강남구,CS200004,컴퓨터학원,62,60,2,1.6,1,1.6,1
20213,11680,강남구,CS200003,예술학원,887,857,30,3.4,30,1.2,11
20213,11680,강남구,CS200002,외국어학원,365,356,9,1.9,7,1.4,5
20213,11680,강남구,CS200001,일반교습학원,2718,2574,144,3.2,86,1.4,38
20213,11680,강남구,CS100010,커피-음료,2327,1752,575,4.6,108,3.7,85
20213,11680,강남구,CS100009,호프-간이주점,1252,1086,166,4.2,53,4.6,57
20213,11680,강남구,CS100008,분식전문점,903,666,237,4.9,44,4.1,37
20213,11680,강남구,CS100007,치킨전문점,390,141,249,2.6,10,4.6,18
20213,11680,강남구,CS100006,패스트푸드점,601,324,277,5.7,34,3.5,21
20213,11680,강남구,CS100005,제과점,554,385,169,3.6,20,3.6,20
20213,11680,강남구,CS100004,양식음식점,1297,1162,135,5.2,68,4,52
20213,11680,강남구,CS100003,일식음식점,918,805,113,5.4,50,3.4,31
20213,11680,강남구,CS100002,중식음식점,475,413,62,4.2,20,3.2,15
20213,11680,강남구,CS100001,한식음식점,4997,4318,679,3.1,156,3.6,179
20213,11650,서초구,CS300043,전자상거래업,1158,1157,1,5.3,61,3.3,38
20213,11650,서초구,CS300042,주유소,65,65,0,1.5,1,4.6,3
20213,11650,서초구,CS300041,예술품,119,119,0,3.4,4,1.7,2
20213,11650,서초구,CS300040,재생용품 판매점,83,83,0,0,0,0,0
20213,11650,서초구,CS300039,모터사이클및부품,23,23,0,4.3,1,0,0
20213,11650,서초구,CS300038,자동차부품,217,216,1,0.9,2,1.4,3
20213,11650,서초구,CS300037,중고차판매,115,115,0,1.7,2,0,0
20213,11650,서초구,CS300036,조명용품,597,597,0,1.3,8,1.2,7
20213,11650,서초구,CS300035,인테리어,176,176,0,0,0,1.1,2
20213,11650,서초구,CS300034,악기,156,156,0,0.6,1,1.9,3
20213,11650,서초구,CS300033,철물점,80,80,0,2.5,2,1.3,1
20213,11650,서초구,CS300032,가전제품,167,167,0,1.2,2,0.6,1
20213,11650,서초구,CS300031,가구,364,363,1,2.2,8,1.6,6
20213,11650,서초구,CS300030,중고가구,14,14,0,0,0,0,0
20213,11650,서초구,CS300029,애완동물,77,73,4,2.6,2,1.3,1
20213,11650,서초구,CS300028,화초,865,861,4,1.2,10,1.4,12
20213,11650,서초구,CS300027,섬유제품,256,256,0,1.6,4,1.2,3
20213,11650,서초구,CS300026,완구,58,58,0,3.4,2,3.4,2
20213,11650,서초구,CS300025,자전거 및 기타운송장비,53,53,0,0,0,0,0
20213,11650,서초구,CS300024,운동/경기용품,273,273,0,3.7,10,1.5,4
20213,11650,서초구,CS300023,미용재료,67,67,0,1.5,1,0,0
20213,11650,서초구,CS300022,화장품,1251,1207,44,2.8,35,2,25
20213,11650,서초구,CS300021,문구,282,246,36,0.4,1,1.4,4
20213,11650,서초구,CS300020,서적,283,276,7,2.1,6,0.7,2
20213,11650,서초구,CS300019,의료기기,296,296,0,1.7,5,1,3
20213,11650,서초구,CS300018,의약품,518,494,24,1.4,7,0.6,3
20213,11650,서초구,CS300017,시계및귀금속,229,223,6,1.3,3,1.7,4
20213,11650,서초구,CS300016,안경,133,108,25,0.8,1,0.8,1
20213,11650,서초구,CS300015,가방,178,176,2,2.8,5,1.7,3
20213,11650,서초구,CS300014,신발,189,186,3,1.6,3,0,0
20213,11650,서초구,CS300013,유아의류,106,99,7,1.9,2,2.8,3
20213,11650,서초구,CS300012,한복점,19,19,0,0,0,0,0
20213,11650,서초구,CS300011,일반의류,2076,2073,3,1.6,34,2.4,49
20213,11650,서초구,CS300010,반찬가게,568,553,15,2.5,14,1.8,10
20213,11650,서초구,CS300009,청과상,201,199,2,1.5,3,1.5,3
20213,11650,서초구,CS300008,수산물판매,107,107,0,0.9,1,2.8,3
20213,11650,서초구,CS300007,육류판매,196,194,2,2,4,4.6,9
20213,11650,서초구,CS300006,미곡판매,941,941,0,0.9,8,0.5,5
20213,11650,서초구,CS300005,주류도매,84,84,0,1.2,1,2.4,2
20213,11650,서초구,CS300004,핸드폰,316,312,4,3.2,10,3.8,12
20213,11650,서초구,CS300003,컴퓨터및주변장치판매,727,726,1,1.8,13,1.5,11
20213,11650,서초구,CS300002,편의점,488,134,354,3.1,15,3.5,17
