"자치구","시장명","형태","주소","전화번호","건물형(연면적)","점포수(빈점포제외)"
"마포구","용강동상점가","상점가       ","서울특별시 마포구 토정로 315 일대 용강동상점가","","67311.38","108"
"마포구","합정시장","건물형       ","서울특별시 마포구 양화진길 5 합정시장","","5433","8"
"마포구","홍대걷고싶은거리상점가","상점가       ","서울특별시 마포구 어울마당로 109~155 일대 홍대걷고싶은거리상점가","","5135","192"
"마포구","홍대레드로드골목형상점가","골목형       ","서울 마포구 잔다리로 8-3 잔다리로 8-3 일대","","3845.3","91"
"마포구","홍대소상공인상점가","상점가       ","서울특별시 마포구 홍익로3길 37 홍대소상공인상점가","","4019","168"
"마포구","아현동손기정길골목형상점가","골목형       ","서울 마포구 손기정로1길 24","","1787.29","36"
"양천구","경창시장","골목형       ","서울시 양천구 오목로9길 31 경창시장","","2320","51"
"양천구","목2동시장","골목형       ","서울시 양천구 목동중앙북로16길 3 목2동시장","","3020","87"
"양천구","목3동 골목형상점가","상점가       ","서울 양천구 목동중앙북로 38 목3동 골목형상점가","","0","181"
"양천구","목동깨비시장","골목형       ","서울시 양천구 목동중앙북로6길 5 목동깨비시장","","5106","89"
"양천구","목동로데오골목형상점가","상점가       ","서울 양천구 목동로25길 19 일원","","6549","110"
"양천구","목사랑시장","골목형       ","서울시 양천구 목동중앙남로7길 8 목사랑시장","","1970","80"
"양천구","서서울골목형상점가","상점가       ","서울시 양천구 곰달래로13길 15 서서울골목형상점가","","7221","49"
"양천구","신곡시장 골목형상점가","상점가       ","서울 양천구 남부순환로79길 33-2 신곡시장 골목형상점가","","0","104"
"양천구","신곡종합시장","건물형       ","서울시 양천구 신월로16길 5 신곡종합시장","","1150","10"
"양천구","신영시장","골목형       ","서울시 양천구 월정로 161-5 신영시장","","4520","106"
"양천구","신월3동시장골목형상점가","상점가       ","서울시 양천구 남부순환로40가길 1-1 신월3동시장골목형상점가","","7228.08","140"
"양천구","신월7동골목시장","골목형       ","서울시 양천구 지양로10길 3 신월7동골목시장","","480","10"
"양천구","신정1동골목시장","골목형       ","서울시 양천구 중앙로34길 28 신정1동골목시장","","1560","38"
"양천구","신정제일시장","건물형       ","서울시 양천구 중앙로34길 30 신정제일시장","","2223","52"
"양천구","오목교중앙시장","골목형       ","서울시 양천구 신목로4길 45 오목교중앙시장","","1560","65"
"양천구","오목내길골목형상점가","골목형       ","서울 양천구 신목로6길 41 일원","","2795.93","63"
"양천구","우성상가","건물형       ","서울시 양천구 지양로 78 우성상가","","5035","22"
"양천구","월정로시장","골목형       ","서울시 양천구 월정로29길 3 월정로시장","","2230","77"
"강서구","강서구청먹자골목 골목형상점가","골목형       ","서울 강서구 화곡로 354-10 화곡동 1110-3 ~ 1121-2 일대","","48271.54","142"
"강서구","강서수산시장 골목형상점가","건물형       ","서울 강서구 발산로 24 수협공판장","","44863.26","90"
"강서구","강서행복한길골목형상점가","골목형       ","서울 강서구 화곡로31길 29 화곡동 1057-7~1061-10 일대","","4548.25","51"
"강서구","공항대로 골목형상점가","골목형       ","서울 강서구 공항대로61길 42 염창동 271~274-1, 등촌동 633-29, 647-64~647-86 일대","","9756.64","74"
"강서구","까치산시장","골목형       ","서울특별시 강서구 강서로12길 14 까치산시장","","26139","134"
"강서구","남부골목시장","골목형       ","서울특별시 강서구 등촌로 5길 62-4 남부골목시장","","21776","150"
"강서구","방신전통시장","골목형       ","서울특별시 강서구 방화동로 124-1 방신전통시장 고객지원센타","","6963","91"
"강서구","봉제산길 골목형상점가","골목형       ","서울 강서구 등촌로39길 6 등촌동 512-7 ~ 514-58, 524-2~524-32 일대","","7979.35","61"
"강서구","송화벽화시장","골목형       ","서울특별시 강서구 강서로45나길 송화벽화시장","","26319","67"
"강서구","화곡본동시장","골목형       ","서울특별시 강서구 화곡로 32길 18 일원 화곡본동시장","","5804.9","50"
"강서구","화곡중앙시장","골목형       ","서울특별시 강서구 월정로30길66 화곡중앙시장","","9436","58"
"강서구","가양역사거리 골목형상점가","골목형       ","서울 강서구 공항대로45길 15","","34989.49","69"
"강서구","공항골목시장 골목형상점가","골목형       ","서울 강서구 남부순환로11가길 74","","9820.92","56"
"강서구","공항동 먹자골목 골목형상점가","골목형       ","서울 강서구 송정로 32-1","","79370.82","89"
"강서구","송정역 카페거리 골목형상점가","골목형       ","서울 강서구 공항대로8길 14","","13505.22","63"
"구로구","가리봉시장","골목형       "," 서울특별시 구로구 우마길 15 가리봉시장","","8858","70"
"구로구","개봉입구골목상가 골목형상점가","골목형       ","서울 구로구 경인로35길 14 ~경인로35길 55 일대","","2711","35"
"구로구","개봉중앙 골목형상점가","골목형       ","서울 구로구 개봉로17길 7 ~37 일대 개봉중앙 골목형상점가","","3294","59"
"구로구","개봉중앙시장","건물형       "," 서울특별시 구로구 개봉로17길 34 개봉중앙시장","","1515","21"
"구로구","개봉프라자","건물형       "," 서울특별시 구로구 고척로40길 19 개봉프라자","","9974","99"
"구로구","고척골목시장상점가","상점가       "," 서울특별시 구로구 중앙로10길 21 일대 고척골목시장상점가","","8452","62"
"구로구","고척근린시장","골목형       "," 서울특별시 구로구 경인로33길 98-9 고척근린시장","","6013","70"
"구로구","고척프라자","건물형       "," 서울특별시 구로구 중앙로10길 7 고척프라자","","11965","16"
"구로구","구로시장","골목형       "," 서울특별시 구로구 구로동로22길 20-27 구로시장","","5091","158"
"구로구","그라운드고척 골목형상점가","골목형       ","서울 구로구 경인로47길 6 경인로47길 일대 및 중앙로6길, 중앙로8길 일부 그라운드고척 골목형상점가","","14030","211"
"구로구","남구로시장","골목형       "," 서울특별시 구로구 구로동로28길 16-7(구로동) 일원 남구로시장","","24544","182"
"구로구","오류버들시장 골목형상점가","골목형       ","서울 구로구 오류로8길 6 오류로8길 일대 및 오류로, 서해안로 일부 오류버들시장 골목형상점가","","25507","383"
"구로구","오류시장","건물형       "," 서울특별시 구로구 경인로19가길 14-1 오류시장","","3947","127"
"구로구","극동종합상가 골목형상점가","건물형       ","서울 구로구 구로중앙로7길 28","","1407.82","53"
"구로구","오류골먹자골목 골목형상점가","건물형       ","서울 구로구 경인로23길 8","","4785","72"
"금천구","대명여울빛거리시장","골목형       "," 서울특별시  시흥대로52길 70 대명여울빛거리시장","","22929","218"
"금천구","독산동 맛나는거리상점가","상점가       "," 서울특별시 시흥대로 398 ~ 독산로 247 독산동 맛나는거리상점가","","18021","153"
"금천구","독산동 우시장","상점가       "," 서울특별시 범안로 1209 독산동 우시장","","18600","137"
"금천구","법원단지길 상점가","골목형       ","서울 금천구 독산로 136 136, 138 , 독산로 36길-50길 일대","","16341.74","91"
"금천구","별빛남문시장","골목형       "," 서울특별시 금천구 시흥대로144길 17 별빛남문시장","","13079","102"
"금천구","비단길현대시장","골목형       "," 서울특별시 금천구 독산로41길 7 비단길현대시장","","23598","180"
"금천구","아름다운 별장거리","상점가       ","서울 금천구 금하로24길 24 (시흥동)","","20347.16","88"
"금천구","은행나무시장","골목형       "," 서울특별시 금하로25길 1~35 골목일대 은행나무시장","","2202","53"
"금천구","정훈한마음골목시장","골목형       ","서울특별시 금천구 독산로64길,65길 일대 정훈한마음골목시장","","6814","100"
"금천구","천리단길 상점가","골목형       ","서울 금천구 시흥대로63길 37 2층","","2891.7","45"
"영등포구","남서울상가","건물형       "," 서울특별시 영등포구 영중로14길 11 남서울상가","","8580","69"
"영등포구","대림중앙골목형상점가","상점가       "," 서울특별시 영등포구 디지털로37길 29 대림중앙골목형상점가","","9525","39"
"영등포구","대림중앙시장","골목형       "," 서울특별시 영등포구 디지털로37나길 21 대림중앙시장","","2974","91"
"영등포구","대신시장","건물형       "," 서울특별시 영등포구 도신로60길 7 대신시장","","12968","181"
"영등포구","도림시장","건물형       "," 서울특별시 영등포구 도영로 50 도림시장","","4156","6"
"영등포구","동남상가","건물형       "," 서울특별시 영등포구 영등포로37길 4 동남상가","","5722","71"
"영등포구","로타리상가","건물형       "," 서울특별시 영등포구 영등포로 219 로타리상가","","5504","91"
"영등포구","삼구시장","건물형       "," 서울특별시 영등포구 영등포로 219 삼구시장","","3758","55"
"영등포구","샛강두리골목형상점가","상점가       ","서울 영등포구 도신로64길 1 도신로64길, 영등포로72길","","3513","74"
"영등포구","선유도역골목형상점가","상점가       "," 서울특별시 영등포구 선유로47길 34 선유도역골목형상점가","","1201.8","37"
"영등포구","선유로운골목형상점가","골목형       ","서울 영등포구 양평로22길 13 양평로22길 일대, 선유로51길 일부","","3392","67"
"영등포구","신동시장","건물형       "," 서울특별시 영등포구 가마산로69가길 12 신동시장","","1877","11"
"영등포구","영등포로타리지하도상가","지하도상가     "," 서울특별시 영등포구 영중로 지하20 영등포로타리지하도상가","","6161","99"
"영등포구","영등포시장기계공구상가","골목형       "," 서울특별시 영등포구 영중로14길 48 영등포시장기계공구상가","","35477","369"
"영등포구","영등포시장지하도상가","지하도상가     "," 서울특별시 영등포구 영등포로 지하221 영등포시장지하도상가","","1599","68"
"영등포구","영등포역지하도상가","지하도상가     "," 서울특별시 영등포구 경인로 지하843 영등포역지하도상가","","4678","74"
"영등포구","영등포유통상가","건물형       "," 서울특별시 영등포구 영등포로 109 영등포유통상가","","75575","1470"
"영등포구","영등포전통시장","골목형       "," 서우륵별시 영등포구 영등포로45길 16-1 영등포전통시장","","5245","100"
"영등포구","영등포청과시장","골목형       "," 서울특별시 영등포구 영신로39길 14 영등포청과시장","","19800","151"
"영등포구","영신상가","건물형       "," 서울특별시 영등포구 영등포로 225 영신상가","","10323","96"
"영등포구","영일시장","골목형       "," 서울특별시 영등포구 문래로30길 27 영일시장","","1897","64"
"영등포구","우리시장","골목형       "," 서울특별시 영등포구 도림로64길 16-1 우리시장","","2991","89"
"영등포구","제일상가","건물형       "," 서울특별시 영등포구 영등포로 225 제일상가","","1063","51"
"동작구","강남시장","건물형       ","동작구 상도로 357 강남시장","","2471","21"
"동작구","남성사계시장(남성시장)","골목형       ","동작구 동작대로 129 일원 남성사계시장","","10984","137"
"동작구","남성역골목시장","골목형       ","동작구 사당로16가길 19  일원 남성역골목시장","","9021","71"
"동작구","노량진수산시장골목형상점가","건물형       ","서울 동작구 노들로 674 노량진 수산물 도매시장","","118346","706"
"동작구","만양로상점가","상점가       ","동작구 만양로 92 일원 만양로상점가","","0","30"
"동작구","보라매다올길골목형상점가","골목형       ","서울 동작구 여의대방로24가길 5 일대","","13216","81"
"동작구","본동인정시장","골목형       ","동작구 매봉로 177 본동인정시장","","12176","91"
"동작구","사당1동먹자골목상점가","골목형       ","동작대로3길 14 일원 사당1동먹자골목상점가","","3063","81"
"동작구","사당시장","건물형       ","동작구 사당로 244 사당시장","","3843","15"
"동작구","상도도깨비골목형상점가","상점가       ","동작구 상도로 22길 일대 상도도깨비 골목형상점가","","9510","100"
"동작구","상도약수골목형상점가","상점가       ","동작구 양녕로26길 10 일대 상도약수골목형상점가","","9867","102"
"동작구","상도전통시장","골목형       ","동작구 상도로37길 62 일원 상도전통시장","","16463","73"
"동작구","성대시장","건물형       ","동작구 상도로 102 성대건물시장","","6831","45"
"동작구","성대전통시장","골목형       ","국사봉1길 41 일원 성대전통시장","","20290","100"
"동작구","신노량진시장","건물형       ","동작구 장승배기로 123-6 신노량진시장","","3512","123"
"동작구","이수미로 골목형상점가","골목형       ","서울 동작구 동작대로27가길 5 동작대로 27가길 일대","","34288","183"
"동작구","노량진 만나로 골목형상점가","골목형       ","서울 동작구 만양로 92","","5818","54"
"동작구","숭실마루길 골목형상점가","골목형       ","서울 동작구 사당로 28","","19783","120"
"동작구","신대방1동 온누리길 골목형상점가","골목형       ","서울 동작구 신대방길 112-4","","7665","83"
"동작구","흑석시장 골목형상점가","골목형       ","서울 동작구 서달로12길 19","","6227","154"
"관악구","강남골목시장","상점가       ","서울 관악구 조원로6길 15 강남골목시장","","8071.96","59"
"관악구","관악신사시장","골목형       ","서울특별시 관악구 관천로19길 89 관악신사시장","","3778","100"
"관악구","관악종합시장","건물형       ","서울특별시 관악구 신원로 23 관악종합시장","","2928.92","57"
"관악구","관악중부시장","상점가       ","서울특별시 관악구 관악로 222 관악중부시장","","2391","48"
"관악구","난곡골목형상점가","상점가       ","서울특별시 관악구 난곡로24길 12 난곡골목형상점가","","6947","79"
"관악구","남현동 예술인마을 골목형상점가","상점가       ","서울 관악구 남현3길 78 외 64필지 ","","50878.18","212"
"관악구","녹두 골목형상점가","골목형       ","서울 관악구 신림로11길 20 녹두 골목형상점가","","14978","88"
"관악구","녹두S밸리 골목형상점가","골목형       ","서울 관악구 호암로22길 76 녹두S밸리 골목형상점가","","20122","81"
"관악구","미성동도깨비시장","상점가       ","서울특별시 관악구 미성3길 1 미성동도깨비시장","","9190.26","83"
"관악구","봉리단길 골목형상점가","상점가       ","서울시 관악구 장군봉1길 56 봉리단길 골목형상점가","","20432","223"
"관악구","봉일시장","건물형       ","서울특별시 관악구 은천로 28 봉일시장","","19098.52","35"
"관악구","봉천달빛길 골목형상점가","상점가       ","서울 관악구 남부순환로 1739-8 등 27필지","","7715","114"
"관악구","봉천제일종합시장","건물형       ","서울특별시 관악구 청룡2길 29 봉천제일종합시장","","3776.06","51"
"관악구","봉천중앙시장","건물형       ","서울특별시 관악구 관악로 211 봉천중앙시장","","3406","36"
"관악구","봉천현대시장","건물형       ","서울특별시 관악구 양녕로 49 봉천현대시장","","2069","56"
"관악구","삼성동시장","골목형       ","서울특별시 관악구 원신1길 28-1 신림동 삼성동시장","","4800","120"
"관악구","서림 행복가득한 골목형상점가","상점가       ","서울 관악구 신림로 208 인근","","6503","51"
"관악구","서원동상점가","상점가       ","서울특별시 관악구 신림로 329 서원동상점가","","17115","200"
"관악구","신림종합시장","건물형       ","서울특별시 관악구 남부순환로 157길 63 신림종합시장","","3778","25"
"관악구","신림중앙시장","건물형       ","서울특별시 관악구 조원로16길 27 신림중앙시장","","6167.28","292"
"관악구","신림현대종합상가","건물형       ","서울특별시 관악구 신림로 29길 3-20 신림현대종합상가","","5053","45"
"관악구","신신림시장","건물형       ","서울특별시 관악구 원신2길 34 신신림시장","","1824","11"
"관악구","신원시장","골목형       ","서울특별시 관악구 신원로3길 20-3 신원시장","","3678","119"
"관악구","우림시장","건물형       ","서울특별시 관악구 난곡로 26길 19 우림시장","","1726","17"
"관악구","원당종합시장","건물형       ","서울특별시 관악구 남부순환로248길 35 원당종합시장","","2058.84","7"
"관악구","인헌시장","골목형       ","서울 관악구 인헌6길 24 인헌시장","","9751","52"
"관악구","조원동펭귄시장","골목형       ","서울특별시 관악구 조원로16길 27 조원동펭귄시장","","9831","75"
"관악구","행운담길 골목형상점가","골목형       ","서울 관악구 남부순환로233길 16 행운담길 골목형상점가","","15357.7","97"
"관악구","신림별빛거리 골목형상점가","골목형       ","서울 관악구 봉천로6길 29","","52916","215"
"서초구","강남터미널지하도상점가(고투몰)","지하도상가     ","서울 서초구 신반포로 지하 200 강남터미널지하쇼핑몰","","31125","619"
"서초구","고속터미널역지하철역상점가(엔터식스 강남점)","지하도상가     ","서울 서초구 신반포로 지하 188 강남고속터미널역","","6524","31"
"서초구","남부종합시장","건물형       ","서울특별시 서초구 방배중앙로 27길 17 남부종합시장","","5975","123"
"서초구","말죽거리 골목형상점가","상점가       ","서울 서초구 남부순환로356길 49 코사마트","","14870","106"
"서초구","서초쇼핑 골목형상점가","건물형       ","서울 서초구 고무래로 90-7 서초쇼핑","","8610.38","89"
"서초구","양재시장","건물형       ","서울특별시 서초구 남부순환로 356길 15 양재종합시장","","2525","30"
"강남구","강남개포시장","상점가       ","서울특별시 강남구 개포로82길11 삼우빌딩 305호","","56608","137"
"강남구","강남시장","건물형       ","동작구 상도로 357 강남시장","","2471","21"
"강남구","강남언주로 상가","상점가       ","서울특별시 강남구 언주로98길 5-4 강남언주로상가","","2008","34"
"강남구","강남역지하도상점","지하도상가     ","서울특별시 강남구 강남대로 지하396 강남역지하도상점","","12099","212"
"강남구","논현종합시장","건물형       ","서울특별시 강남구 봉은사로33길 33 논현종합시장(관리처분계획인가처분)","","1215","40"
"강남구","도곡시장","상점가       ","서울 강남구 선릉로69길 19 역삼래미안아파트상가동 402호","","33361","86"
"강남구","신사시장","상점가       ","서울특별시 강남구 압구정로29길 72-1 신사시장","","2931.59","62"
"강남구","영동전통시장","골목형       ","서울특별시 강남구 강남대로 128길 20 영동전통시장","","13100","140"
"강남구","은마종합상점","상점가       ","서울특별시 강남구 삼성로 212 은마종합상점","","10092","549"
"강남구","청담삼익시장","건물형       ","서울특별시 강남구 학동로101길26 청담삼익시장","","2870","175"
"송파구","가락골골목형상점가","상점가       "," 서울특별시 송파구 송이로20길 12-16 가락골골목형상점가","","12607.5","191"
"송파구","가락몰 골목형상점가","골목형       ","서울 송파구 양재대로 932 가락몰 판매동","","112511","1221"
"송파구","마천시장관리주식회사","건물형       "," 서울특별시 송파구 마천로45길 23 마천시장","","3871","64"
"송파구","마천중앙시장","골목형       ","서울 송파구 마천로45길 16 (마천동, 2층)","","14757","136"
"송파구","문정동로데오거리상점가","상점가       "," 서울특별시 송파구 동남로4길 10 문정동로데오거리상점가","","45850","191"
"송파구","방이시장","골목형       "," 서울특별시 송파구 가락로 243 방이시장","","35625","134"
"송파구","새마을시장","골목형       "," 서울특별시 송파구 석촌호수로12길 3-9 새마을시장","","19961","116"
"송파구","석촌시장","골목형       "," 서울특별시 송파구 송파대로37길 52 석촌시장","","17833","67"
"송파구","풍납시장","골목형       "," 서울특별시 송파구 바람드리길 15-1 풍납시장","","23670","140"
"송파구","잠실역지하쇼핑센터","지하도상가     ","서울 송파구 올림픽로 지하 265 잠실역 2호선","","8445.73","139"
"강동구","고덕골목형상점가","상점가       ","서울특별시 강동구 고덕로 83길 18 고덕 골목형상점가","","6699","104"
"강동구","고분다리전통시장","골목형       ","서울시 강동구 구천면로34길 고분다리전통시장","","1468","72"
"강동구","길동복조리시장","골목형       ","서울시 강동구 천중로 52길 37 길동복조리시장","","13189","151"
"강동구","둔촌역전통시장","골목형       ","서울시 강동구 풍성로58길, 양재대로91길 일대 둔촌역전통시장","","4140","87"
"강동구","명일전통시장","골목형       ","서울특별시 강동구 양재대로138길, 상암로47길 일대 명일전통시장","","1862","58"
"강동구","성내전통시장","골목형       ","서울시 강동구 천호대로 162길 성내전통시장","","2700","76"
"강동구","암사종합시장","골목형       ","서울특별시 강동구 상암로11길, 고덕로10길 암사종합시장","","17394","110"
"강동구","장신구거리","건물형       ","서울시 강동구 성내로 83 장신구거리","","101111","170"
"강동구","천호로데오거리상점가","상점가       ","서울시 강동구 천호대로157길 40 천호동로데오거리상점가","","509181","150"
