복지관명,소재지,설치일자,시설면적(제곱미터),시설규모2,주요사업,전화번호,데이터기준일자
수정노인종합복지관,경기도 성남시 수정구 수정남로 268번길 28(산성동),1997-09-25,4493,지하1+지상4,노인여가복지 프로그램+경로식당,031-731-3393,2026-06-03
수정중앙노인종합복지관,경기도 성남시 수정구 성남대로 1480번길 38(복정동),2004-04-26,3260,지하1+지상4,노인여가복지 프로그램+경로식당,031-752-3366,2026-06-03
중원노인종합복지관,경기도 성남시 중원구 제일로35번길 51(성남동),2007-08-13,10780,지하3+지상4,노인여가복지 프로그램+경로식당,031-751-7450,2026-06-03
황송노인종합복지관,경기도 성남시 중원구 금상로 132(상대원동),2010-12-04,2723,지하1+지상3,노인여가복지 프로그램+경로식당,031-731-5520,2026-06-03
분당노인종합복지관,경기도 성남시 분당구 불정로 50(정자동),2008-01-11,9319,지하2+지상3,노인여가복지 프로그램+경로식당,031-785-9200,2026-06-03
판교노인종합복지관,경기도 성남시 분당구 판교역로 99(백현동),2017-04-17,11559,지하2+지상4,노인여가복지 프로그램+경로식당,031-620-2810,2026-06-03
