상권명,상권유형,업종,20254_전체점포수,20254_개업수,20254_폐업수,20254실제,20261실제,20261예측,오차
면목5동주민센터,골목상권,한식음식점,13,0,0,0,0.0,3.98,3.98
면목동우체국,골목상권,한식음식점,23,0,0,0,5.0,4.53,-0.47
면목역 1번,골목상권,한식음식점,10,1,0,0,10.0,4.15,-5.85
면목역 2번,골목상권,한식음식점,34,0,0,0,6.0,4.92,-1.08
면목역 3번,골목상권,한식음식점,23,1,3,13,4.0,4.6,0.6
명일역 1번,골목상권,한식음식점,8,0,1,13,0.0,3.45,3.45
명지대학교,골목상권,한식음식점,69,2,6,9,7.0,5.68,-1.32
명지대학교교회,골목상권,한식음식점,33,1,2,6,3.0,4.97,1.97
모래내우체국,골목상권,한식음식점,23,0,1,4,0.0,4.51,4.51
목4동주민센터,골목상권,한식음식점,5,0,0,0,17.0,3.12,-13.88
목동로데오거리,골목상권,한식음식점,18,1,0,0,0.0,4.55,4.55
목동문화체육센터,골목상권,한식음식점,5,0,0,0,0.0,3.14,3.14
목동보건지소,골목상권,한식음식점,24,0,0,0,4.0,4.57,0.57
목동센트럴아이파크앞,골목상권,한식음식점,19,0,0,0,0.0,4.35,4.35
목동역 5번,골목상권,한식음식점,6,0,0,0,0.0,3.29,3.29
묘곡초등학교(고덕아이파크아파트),골목상권,한식음식점,27,3,2,7,0.0,5.09,5.09
무너미어린이공원,골목상권,한식음식점,4,0,0,0,0.0,2.94,2.94
문래동남성맨션,골목상권,한식음식점,3,0,0,0,0.0,2.71,2.71
문래동사거리,골목상권,한식음식점,9,0,0,0,0.0,3.64,3.64
문래소공원,골목상권,한식음식점,8,0,0,0,0.0,3.53,3.53
문래역 3번,골목상권,한식음식점,3,0,0,0,0.0,2.71,2.71
문래예술촌(문래창작촌),골목상권,한식음식점,142,8,6,4,6.0,6.56,0.56
문래중학교,골목상권,한식음식점,7,0,0,0,0.0,3.41,3.41
문성초등학교,골목상권,한식음식점,44,1,1,2,7.0,5.25,-1.75
문이교,골목상권,한식음식점,1,0,0,0,0.0,2.01,2.01
문정동성당,골목상권,한식음식점,7,2,1,14,14.0,4.5,-9.5
문정역 1번,골목상권,한식음식점,20,1,2,10,5.0,4.53,-0.47
문정역 2번,골목상권,한식음식점,26,0,0,0,0.0,4.65,4.65
문정초등학교,골목상권,한식음식점,22,2,2,9,5.0,4.79,-0.21
문현중학교(장지역 1번),골목상권,한식음식점,21,0,0,0,0.0,4.46,4.46
미근동,골목상권,한식음식점,34,0,1,3,0.0,4.9,4.9
미림여고,골목상권,한식음식점,3,0,0,0,0.0,2.71,2.71
미성동주민센터,골목상권,한식음식점,6,0,0,0,0.0,3.29,3.29
미성초등학교,골목상권,한식음식점,20,2,3,15,5.0,4.69,-0.31
미아사거리역 3번,골목상권,한식음식점,21,0,1,5,5.0,4.41,-0.59
미아역 5번,골목상권,한식음식점,15,2,0,0,7.0,4.64,-2.36
